KR-85M,KR-88,XE-133,XE-135,I-131,I-132,I-133,I-134,I-135,level
35.9,103.0,159.0,158.0,4.89,133.0,75.7,249.0,138.0,无
906.0,2160.0,19000.0,5610.0,377.0,348.0,598.0,279.0,345.0,较大
1140.0,2320.0,34700.0,5800.0,102.0,146.0,139.0,228.0,151.0,中等
3010.0,7200.0,64100.0,18900.0,1500.0,1440.0,2830.0,671.0,1400.0,较大
441.0,775.0,31800.0,1980.0,18.9,15.6,19.2,20.4,16.1,小
1.63,6.88,5.18,7.45,51.0,8.54,4.78,16.4,12.5,较大
1.84,7.6,7.16,8.81,42.0,9.57,5.03,17.5,11.8,无
186.0,433.0,3930.0,1130.0,51.5,452.0,289.0,725.0,479.0,无
434.0,748.0,18200.0,2640.0,92.4,431.0,322.0,371.0,360.0,较大
22.3,43.6,703.0,131.0,3.8,101.0,43.6,202.0,89.7,较大
609.0,1380.0,4210.0,3750.0,81.4,682.0,324.0,1190.0,559.0,较大
294.0,574.0,6470.0,1880.0,42.0,767.0,412.0,1290.0,732.0,大
389.0,1030.0,3210.0,2480.0,113.0,2330.0,1350.0,4190.0,2390.0,大
1160.0,2370.0,35500.0,7530.0,866.0,748.0,1010.0,1030.0,813.0,较大
